Season,Week,Tm_name,Date,Win,OT,Home,Opp_Name,Tm_Pts,Opp_Pts,Spread,Total,Actual_Total,Div_Game
2014,1,CRD,8-Sep,1,0,1,SDG,18,17,-3,45,35,0
2014,2,CRD,14-Sep,1,0,0,NYG,25,14,-2,42.5,39,0
2014,3,CRD,21-Sep,1,0,1,SFO,23,14,3,42,37,1
2014,5,CRD,5-Oct,0,0,0,DEN,20,41,7.5,48,61,0
2014,6,CRD,12-Oct,1,0,1,WAS,30,20,-5.5,47,50,0
2014,7,CRD,19-Oct,1,0,0,RAI,24,13,-3.5,46.5,37,0
2014,8,CRD,26-Oct,1,0,1,PHI,24,20,1,48.5,44,0
2014,9,CRD,2-Nov,1,0,0,DAL,28,17,1.5,45,45,0
2014,10,CRD,9-Nov,1,0,1,RAM,31,14,-7,43,45,1
2014,11,CRD,16-Nov,1,0,1,DET,14,6,-1,41,20,0
2014,12,CRD,23-Nov,0,0,0,SEA,3,19,7,41.5,22,1
2014,13,CRD,30-Nov,0,0,0,ATL,18,29,-1.5,45,47,0
2014,14,CRD,7-Dec,1,0,1,KAN,17,14,2.5,41,31,0
2014,15,CRD,11-Dec,1,0,0,RAM,12,6,4.5,40.5,18,2
2014,16,CRD,21-Dec,0,0,1,SEA,6,35,9,36,41,2
2014,17,CRD,28-Dec,0,0,0,SFO,17,20,6.5,37.5,37,2
2014,1,ATL,7-Sep,1,1,1,NOR,37,34,3,51.5,71,1
2014,2,ATL,14-Sep,0,0,0,CIN,10,24,6,49,34,0
2014,3,ATL,18-Sep,1,0,1,TAM,56,14,-6,46,70,1
2014,4,ATL,28-Sep,0,0,0,MIN,28,41,-3,47,69,0
2014,5,ATL,5-Oct,0,0,0,NYG,20,30,4,50,50,0
2014,6,ATL,12-Oct,0,0,1,CHI,13,27,-3.5,55.5,40,0
2014,7,ATL,19-Oct,0,0,0,RAV,7,29,6.5,49.5,36,0
2014,8,ATL,26-Oct,0,0,1,DET,21,22,3.5,45.5,43,0
2014,10,ATL,9-Nov,1,0,0,TAM,27,17,-3,47,44,2
2014,11,ATL,16-Nov,1,0,0,CAR,19,17,-1.5,47,36,1
2014,12,ATL,23-Nov,0,0,1,CLE,24,26,-2.5,48.5,50,0
2014,13,ATL,30-Nov,1,0,1,CRD,29,18,1.5,45,47,0
2014,14,ATL,8-Dec,0,0,0,GNB,37,43,13.5,54.5,80,0
2014,15,ATL,14-Dec,0,0,1,PIT,20,27,3,55,47,0
2014,16,ATL,21-Dec,1,0,0,NOR,30,14,6,56.5,44,2
2014,17,ATL,28-Dec,0,0,1,CAR,3,34,-3,48,37,2
2014,1,RAV,7-Sep,0,0,1,CIN,16,23,-2,43,39,1
2014,2,RAV,11-Sep,1,0,1,PIT,26,6,-2.5,44,32,1
2014,3,RAV,21-Sep,1,0,0,CLE,23,21,-2,41.5,44,1
2014,4,RAV,28-Sep,1,0,1,CAR,38,10,-3,42,48,0
