Season,Week,Team,Day,Date,Win,OT,Home,Opp,Off_Pts,Def_Pts,G,Spread,Total
2023,1,CRD,Sun,September 10,0,0,0,WAS,16,20,1,6.5,38.5
2023,2,CRD,Sun,September 17,0,0,1,NYG,28,31,2,4.5,36.5
2023,3,CRD,Sun,September 24,1,0,1,DAL,28,16,3,11.5,43.5
2023,4,CRD,Sun,October 1,0,0,0,SFO,16,35,4,16.5,44.5
2023,5,CRD,Sun,October 8,0,0,1,CIN,20,34,5,3.0,45.5
2023,6,CRD,Sun,October 15,0,0,0,RAM,9,26,6,7.0,47.5
2023,7,CRD,Sun,October 22,0,0,0,SEA,10,20,7,8.5,43.5
2023,8,CRD,Sun,October 29,0,0,1,RAV,24,31,8,9.5,44.5
2023,9,CRD,Sun,November 5,0,0,0,CLE,0,27,9,13.5,38.5
2023,10,CRD,Sun,November 12,1,0,1,ATL,25,23,10,2.5,43.5
2023,11,CRD,Sun,November 19,0,0,0,HTX,16,21,11,5.5,49.0
2023,12,CRD,Sun,November 26,0,0,1,RAM,14,37,12,2.5,45.0
2023,13,CRD,Sun,December 3,1,0,0,PIT,24,10,13,6.5,41.0
2023,15,CRD,Sun,December 17,0,0,1,SFO,29,45,14,12.0,48.5
2023,16,CRD,Sun,December 24,0,0,0,CHI,16,27,15,4.0,43.0
2023,17,CRD,Sun,December 31,1,0,0,PHI,35,31,16,12.0,48.0
2023,18,CRD,Sun,January 7,0,0,1,SEA,20,21,17,3.0,47.5
2023,1,ATL,Sun,September 10,1,0,1,CAR,24,10,1,-3.5,39.5
2023,2,ATL,Sun,September 17,1,0,1,GNB,25,24,2,-3.0,40.5
2023,3,ATL,Sun,September 24,0,0,0,DET,6,20,3,3.0,47.5
2023,4,ATL,Sun,October 1,0,0,0,JAX,7,23,4,3.5,42.5
2023,5,ATL,Sun,October 8,1,0,1,HTX,21,19,5,-2.5,42.0
2023,6,ATL,Sun,October 15,0,0,1,WAS,16,24,6,-1.5,41.5
2023,7,ATL,Sun,October 22,1,0,0,TAM,16,13,7,3.0,37.5
2023,8,ATL,Sun,October 29,0,0,0,OTI,23,28,8,-2.5,35.5
2023,9,ATL,Sun,November 5,0,0,1,MIN,28,31,9,-3.5,39.5
2023,10,ATL,Sun,November 12,0,0,0,CRD,23,25,10,-2.5,43.5
2023,12,ATL,Sun,November 26,1,0,1,NOR,24,15,11,1.5,42.0
2023,13,ATL,Sun,December 3,1,0,0,NYJ,13,8,12,-2.0,33.5
2023,14,ATL,Sun,December 10,0,0,1,TAM,25,29,13,-1.0,41.0
2023,15,ATL,Sun,December 17,0,0,0,CAR,7,9,14,-3.0,33.0
2023,16,ATL,Sun,December 24,1,0,1,CLT,29,10,15,-3.0,45.0
2023,17,ATL,Sun,December 31,0,0,0,CHI,17,37,16,2.5,38.0
2023,18,ATL,Sun,January 7,0,0,0,NOR,17,48,17,3.0,42.0
2023,1,RAV,Sun,September 10,1,0,1,HTX,25,9,1,-9.5,43.5
2023,2,RAV,Sun,September 17,1,0,0,CIN,27,24,2,3.5,45.5
2023,3,RAV,Sun,September 24,0,1,1,CLT,19,22,3,-7.5,44.5
2023,4,RAV,Sun,October 1,1,0,0,CLE,28,3,4,-2.5,41.0
2023,5,RAV,Sun,October 8,0,0,0,PIT,10,17,5,-4.5,38.5
2023,6,RAV,Sun,October 15,1,0,0,OTI,24,16,6,-5.0,42.5
2023,7,RAV,Sun,October 22,1,0,1,DET,38,6,7,-3.0,43.5
2023,8,RAV,Sun,October 29,1,0,0,CRD,31,24,8,-9.5,44.5
2023,9,RAV,Sun,November 5,1,0,1,SEA,37,3,9,-6.5,44.5
2023,10,RAV,Sun,November 12,0,0,1,CLE,31,33,10,-6.0,38.5
2023,11,RAV,Thu,November 16,1,0,1,CIN,34,20,11,-4.0,46.0
2023,12,RAV,Sun,November 26,1,0,0,SDG,20,10,12,-3.0,48.0
2023,14,RAV,Sun,December 10,1,1,1,RAM,37,31,13,-7.5,39.5
2023,15,RAV,Sun,December 17,1,0,0,JAX,23,7,14,-3.0,42.0
2023,16,RAV,Mon,December 25,1,0,0,SFO,33,19,15,6.0,46.5
2023,17,RAV,Sun,December 31,1,0,1,MIA,56,19,16,-3.5,46.5
2023,18,RAV,Sat,January 6,0,0,1,PIT,10,17,17,3.0,34.5
2023,1,BUF,Mon,September 11,0,1,0,NYJ,16,22,1,-2.5,45.5
2023,2,BUF,Sun,September 17,1,0,1,RAI,38,10,2,-8.0,47.0
2023,3,BUF,Sun,September 24,1,0,0,WAS,37,3,3,-4.5,43.5
2023,4,BUF,Sun,October 1,1,0,1,MIA,48,20,4,-2.5,53.0
2023,5,BUF,Sun,October 8,0,0,1,JAX,20,25,5,-5.5,48.5
2023,6,BUF,Sun,October 15,1,0,1,NYG,14,9,6,-15.5,43.5
2023,7,BUF,Sun,October 22,0,0,0,NWE,25,29,7,-7.5,41.5
2023,8,BUF,Thu,October 26,1,0,1,TAM,24,18,8,-10.0,43.5
2023,9,BUF,Sun,November 5,0,0,0,CIN,18,24,9,1.5,50.5
2023,10,BUF,Mon,November 13,0,0,1,DEN,22,24,10,-7.5,47.5
2023,11,BUF,Sun,November 19,1,0,1,NYJ,32,6,11,-7.5,39.0
2023,12,BUF,Sun,November 26,0,1,0,PHI,34,37,12,3.0,48.5
2023,14,BUF,Sun,December 10,1,0,0,KAN,20,17,13,1.5,48.5
2023,15,BUF,Sun,December 17,1,0,1,DAL,31,10,14,-2.0,49.5
2023,16,BUF,Sat,December 23,1,0,0,SDG,24,22,15,-12.5,44.0
2023,17,BUF,Sun,December 31,1,0,1,NWE,27,21,16,-14.0,40.0
2023,18,BUF,Sun,January 7,1,0,0,MIA,21,14,17,-2.5,48.0
2023,1,CAR,Sun,September 10,0,0,0,ATL,10,24,1,3.5,39.5
2023,2,CAR,Mon,September 18,0,0,1,NOR,17,20,2,3.0,39.5
2023,3,CAR,Sun,September 24,0,0,0,SEA,27,37,3,5.0,43.0
2023,4,CAR,Sun,October 1,0,0,1,MIN,13,21,4,4.5,46.5
2023,5,CAR,Sun,October 8,0,0,0,DET,24,42,5,9.5,43.5
2023,6,CAR,Sun,October 15,0,0,0,MIA,21,42,6,14.0,47.5
2023,8,CAR,Sun,October 29,1,0,1,HTX,15,13,7,3.5,42.5
2023,9,CAR,Sun,November 5,0,0,1,CLT,13,27,8,1.5,44.5
2023,10,CAR,Thu,November 9,0,0,0,CHI,13,16,9,3.5,38.5
2023,11,CAR,Sun,November 19,0,0,1,DAL,10,33,10,11.0,43.0
2023,12,CAR,Sun,November 26,0,0,0,OTI,10,17,11,3.5,36.5
2023,13,CAR,Sun,December 3,0,0,0,TAM,18,21,12,3.5,36.5
2023,14,CAR,Sun,December 10,0,0,0,NOR,6,28,13,6.0,38.5
2023,15,CAR,Sun,December 17,1,0,1,ATL,9,7,14,3.0,33.0
2023,16,CAR,Sun,December 24,0,0,1,GNB,30,33,15,4.0,37.5
2023,17,CAR,Sun,December 31,0,0,0,JAX,0,26,16,4.0,36.5
2023,18,CAR,Sun,January 7,0,0,1,TAM,0,9,17,4.0,37.0
2023,1,CHI,Sun,September 10,0,0,1,GNB,20,38,1,-1.5,41.5
2023,2,CHI,Sun,September 17,0,0,0,TAM,17,27,2,2.5,42.0
2023,3,CHI,Sun,September 24,0,0,0,KAN,10,41,3,13.0,48.5
2023,4,CHI,Sun,October 1,0,0,1,DEN,28,31,4,3.0,47.0
2023,5,CHI,Thu,October 5,1,0,0,WAS,40,20,5,6.0,44.5
2023,6,CHI,Sun,October 15,0,0,1,MIN,13,19,6,3.0,44.5
2023,7,CHI,Sun,October 22,1,0,1,RAI,30,12,7,2.5,38.5
2023,8,CHI,Sun,October 29,0,0,0,SDG,13,30,8,10.5,45.5
2023,9,CHI,Sun,November 5,0,0,0,NOR,17,24,9,8.5,42.5
2023,10,CHI,Thu,November 9,1,0,1,CAR,16,13,10,-3.5,38.5
2023,11,CHI,Sun,November 19,0,0,0,DET,26,31,11,8.0,48.0
2023,12,CHI,Mon,November 27,1,0,0,MIN,12,10,12,3.0,44.0
2023,14,CHI,Sun,December 10,1,0,1,DET,28,13,13,3.0,43.0
2023,15,CHI,Sun,December 17,0,0,0,CLE,17,20,14,3.0,38.0
2023,16,CHI,Sun,December 24,1,0,1,CRD,27,16,15,-4.0,43.0
2023,17,CHI,Sun,December 31,1,0,1,ATL,37,17,16,-2.5,38.0
2023,18,CHI,Sun,January 7,0,0,0,GNB,9,17,17,3.0,45.0
2023,1,CIN,Sun,September 10,0,0,0,CLE,3,24,1,-1.5,47.5
2023,2,CIN,Sun,September 17,0,0,1,RAV,24,27,2,-3.5,45.5
2023,3,CIN,Mon,September 25,1,0,1,RAM,19,16,3,-3.0,45.5
2023,4,CIN,Sun,October 1,0,0,0,OTI,3,27,4,-2.5,41.5
2023,5,CIN,Sun,October 8,1,0,0,CRD,34,20,5,-3.0,45.5
2023,6,CIN,Sun,October 15,1,0,1,SEA,17,13,6,-3.0,45.5
2023,8,CIN,Sun,October 29,1,0,0,SFO,31,17,7,4.5,44.5
2023,9,CIN,Sun,November 5,1,0,1,BUF,24,18,8,-1.5,50.5
2023,10,CIN,Sun,November 12,0,0,1,HTX,27,30,9,-5.5,45.5
2023,11,CIN,Thu,November 16,0,0,0,RAV,20,34,10,4.0,46.0
2023,12,CIN,Sun,November 26,0,0,1,PIT,10,16,11,2.0,36.5
2023,13,CIN,Mon,December 4,1,1,0,JAX,34,31,12,10.0,40.0
2023,14,CIN,Sun,December 10,1,0,1,CLT,34,14,13,-2.5,44.5
2023,15,CIN,Sat,December 16,1,1,1,MIN,27,24,14,-3.0,41.0
2023,16,CIN,Sat,December 23,0,0,0,PIT,11,34,15,-2.5,38.0
2023,17,CIN,Sun,December 31,0,0,0,KAN,17,25,16,6.5,44.0
2023,18,CIN,Sun,January 7,1,0,1,CLE,31,14,17,-7.5,37.0
2023,1,CLE,Sun,September 10,1,0,1,CIN,24,3,1,1.5,47.5
