Season,G#,Team,Opp,Spread,Over/Under,Result,vs. Line,OU Result
2023,1,CRD,@WAS,6.5,38.5,"L, 16-20",Won,Under
2023,2,CRD,NYG,4.5,36.5,"L, 28-31",Won,Over
2023,3,CRD,DAL,11.5,43.5,"W, 28-16",Won,Over
2023,4,CRD,@SFO,16.5,44.5,"L, 16-35",Lost,Over
2023,5,CRD,CIN,3.0,45.5,"L, 20-34",Lost,Over
2023,6,CRD,@LAR,7.0,47.5,"L, 9-26",Lost,Under
2023,7,CRD,@SEA,8.5,43.5,"L, 10-20",Lost,Under
2023,8,CRD,BAL,9.5,44.5,"L, 24-31",Won,Over
2023,9,CRD,@CLE,13.5,38.5,"L, 0-27",Lost,Under
2023,10,CRD,ATL,2.5,43.5,"W, 25-23",Won,Over
2023,11,CRD,@HOU,5.5,49.0,"L, 16-21",Won,Under
2023,12,CRD,LAR,2.5,45.0,"L, 14-37",Lost,Over
2023,13,CRD,@PIT,6.5,41.0,"W, 24-10",Won,Under
2023,14,CRD,SFO,12.0,48.5,"L, 29-45",Lost,Over
2023,15,CRD,@CHI,4.0,43.0,"L, 16-27",Lost,Push
2023,16,CRD,@PHI,12.0,48.0,"W, 35-31",Won,Over
2023,17,CRD,SEA,3.0,47.5,"L, 20-21",Won,Under
2023,1,ATL,CAR,-3.5,39.5,"W, 24-10",Won,Under
2023,2,ATL,GNB,-3.0,40.5,"W, 25-24",Lost,Over
2023,3,ATL,@DET,3.0,47.5,"L, 6-20",Lost,Under
2023,4,ATL,@JAX,3.5,42.5,"L, 7-23",Lost,Under
2023,5,ATL,HOU,-2.5,42.0,"W, 21-19",Lost,Under
2023,6,ATL,WAS,-1.5,41.5,"L, 16-24",Lost,Under
2023,7,ATL,@TAM,3.0,37.5,"W, 16-13",Won,Under
2023,8,ATL,@TEN,-2.5,35.5,"L, 23-28",Lost,Over
2023,9,ATL,MIN,-3.5,39.5,"L, 28-31",Lost,Over
2023,10,ATL,@ARI,-2.5,43.5,"L, 23-25",Lost,Over
2023,11,ATL,NOR,1.5,42.0,"W, 24-15",Won,Under
2023,12,ATL,@NYJ,-2.0,33.5,"W, 13-8",Won,Under
2023,13,ATL,TAM,-1.0,41.0,"L, 25-29",Lost,Over
2023,14,ATL,@CAR,-3.0,33.0,"L, 7-9",Lost,Under
2023,15,ATL,IND,-3.0,45.0,"W, 29-10",Won,Under
2023,16,ATL,@CHI,2.5,38.0,"L, 17-37",Lost,Over
2023,17,ATL,@NOR,3.0,42.0,"L, 17-48",Lost,Over
2023,1,RAV,HOU,-9.5,43.5,"W, 25-9",Won,Under
2023,2,RAV,@CIN,3.5,45.5,"W, 27-24",Won,Over
2023,3,RAV,IND,-7.5,44.5,"L, 19-22",Lost,Under
2023,4,RAV,@CLE,-2.5,41.0,"W, 28-3",Won,Under
2023,5,RAV,@PIT,-4.5,38.5,"L, 10-17",Lost,Under
2023,6,RAV,@TEN,-5.0,42.5,"W, 24-16",Won,Under
2023,7,RAV,DET,-3.0,43.5,"W, 38-6",Won,Over
2023,8,RAV,@ARI,-9.5,44.5,"W, 31-24",Lost,Over
2023,9,RAV,SEA,-6.5,44.5,"W, 37-3",Won,Under
2023,10,RAV,CLE,-6.0,38.5,"L, 31-33",Lost,Over
